,sentiment_score,sentiment_score,sentiment_score
,mean,sum,size
time_slice,,,
"(1466380790.1, 1466380998.0]",0.4019607843137255,82.0,204.0
"(1466380998.0, 1466381196.0]",-0.10541310541310542,-37.0,351.0
"(1466381196.0, 1466381394.0]",0.1566579634464752,60.0,383.0
"(1466381394.0, 1466381592.0]",0.27564102564102566,86.0,312.0
"(1466381592.0, 1466381790.0]",0.059447983014861996,28.0,471.0
"(1466381790.0, 1466381988.0]",-0.08284023668639054,-42.0,507.0
"(1466381988.0, 1466382186.0]",0.0591016548463357,25.0,423.0
"(1466382186.0, 1466382384.0]",-0.18518518518518517,-140.0,756.0
"(1466382384.0, 1466382582.0]",-0.02607361963190184,-17.0,652.0
"(1466382582.0, 1466382780.0]",-0.20100502512562815,-160.0,796.0
"(1466382780.0, 1466382978.0]",0.06774193548387097,42.0,620.0
"(1466382978.0, 1466383176.0]",0.12556053811659193,84.0,669.0
"(1466383176.0, 1466383374.0]",-0.09330143540669857,-39.0,418.0
"(1466383374.0, 1466383572.0]",-0.2735562310030395,-180.0,658.0
"(1466383572.0, 1466383770.0]",-0.08858603066439523,-52.0,587.0
"(1466383770.0, 1466383968.0]",-0.07640750670241286,-57.0,746.0
"(1466383968.0, 1466384166.0]",-0.37209302325581395,-272.0,731.0
"(1466384166.0, 1466384364.0]",-0.4,-308.0,770.0
"(1466384364.0, 1466384562.0]",-0.8035398230088495,-908.0,1130.0
"(1466384562.0, 1466384760.0]",-0.42512479201331116,-511.0,1202.0
"(1466384760.0, 1466384958.0]",-0.17207334273624825,-122.0,709.0
"(1466384958.0, 1466385156.0]",-1.1717073170731707,-1201.0,1025.0
"(1466385156.0, 1466385354.0]",-0.23392857142857143,-131.0,560.0
"(1466385354.0, 1466385552.0]",-0.015228426395939087,-9.0,591.0
"(1466385552.0, 1466385750.0]",-0.009157509157509158,-5.0,546.0
"(1466385750.0, 1466385948.0]",0.1623246492985972,81.0,499.0
"(1466385948.0, 1466386146.0]",0.11389521640091116,50.0,439.0
"(1466386146.0, 1466386344.0]",-0.2748091603053435,-144.0,524.0
"(1466386344.0, 1466386542.0]",-0.15052508751458576,-129.0,857.0
"(1466386542.0, 1466386740.0]",-0.2905759162303665,-222.0,764.0
"(1466386740.0, 1466386938.0]",-0.369901547116737,-263.0,711.0
"(1466386938.0, 1466387136.0]",-0.3079268292682927,-202.0,656.0
"(1466387136.0, 1466387334.0]",-0.418018018018018,-464.0,1110.0
"(1466387334.0, 1466387532.0]",-0.0034562211981566822,-3.0,868.0
"(1466387532.0, 1466387730.0]",-0.8276283618581907,-677.0,818.0
"(1466387730.0, 1466387928.0]",-0.3729146221786065,-380.0,1019.0
"(1466387928.0, 1466388126.0]",-0.15819209039548024,-140.0,885.0
"(1466388126.0, 1466388324.0]",0.26098191214470284,202.0,774.0
"(1466388324.0, 1466388522.0]",-0.24772036474164133,-163.0,658.0
"(1466388522.0, 1466388720.0]",-0.13707865168539327,-122.0,890.0
"(1466388720.0, 1466388918.0]",-0.40054495912806537,-294.0,734.0
"(1466388918.0, 1466389116.0]",-0.355119825708061,-326.0,918.0
"(1466389116.0, 1466389314.0]",-0.7248677248677249,-548.0,756.0
"(1466389314.0, 1466389512.0]",-0.6263096623981373,-538.0,859.0
"(1466389512.0, 1466389710.0]",-0.1091901728844404,-120.0,1100.0
"(1466389710.0, 1466389908.0]",-0.6350198976691301,-1117.0,1759.0
"(1466389908.0, 1466390106.0]",-0.8698591549295774,-1544.0,1775.0
"(1466390106.0, 1466390304.0]",-0.4836722119531731,-785.0,1623.0
"(1466390304.0, 1466390502.0]",0.1327212020033389,159.0,1198.0
"(1466390502.0, 1466390700.0]",0.6788511749347258,260.0,383.0
